name_he,se_cluster,se_rank,se_index,he_join_key,settlement_id
גבעת זאב,4.0,107.0,-0.378307391283917,גבעת זאב,34.0
כאוכב אבו אל-היג'א,5.0,91.0,-0.350898047994298,כאוכב אבו אל היג א,
עפולה,5.0,104.0,-0.327192606081898,עפולה,
נוף הגליל,5.0,109.0,-0.298270772497077,נוף הגליל,
חורפיש,5.0,97.0,-0.288219952132669,חורפיש,
טירה,5.0,96.0,-0.274896250644097,טירה,
עספיא,5.0,101.0,-0.273844325357136,עספיא,
קריית ים,5.0,111.0,-0.246879037009905,קריית ים,
אשדוד,5.0,108.0,-0.245564439646911,אשדוד,
קצרין,5.0,110.0,-0.224344410019103,קצרין,
בת ים,5.0,112.0,-0.219492845662228,בת ים,
דאלית אל-כרמל,5.0,103.0,-0.202919743855874,דאלית אל כרמל,
חריש,5.0,129.0,-0.182033165303213,חריש,
קריית שמונה,5.0,115.0,-0.162916525132887,קריית שמונה,
ג'ולס,5.0,106.0,-0.162784599032135,ג ולס,
אשקלון,5.0,119.0,-0.134689456330788,אשקלון,
שדרות,5.0,113.0,-0.132346081241021,שדרות,
כפר קרע,5.0,105.0,-0.111752450209526,כפר קרע,
באר שבע,5.0,128.0,-0.111061644034676,באר שבע,
הגלבוע,5.0,116.0,-0.0981081648619077,הגלבוע,
מטה בנימין,5.0,125.0,-0.0807180235339433,מטה בנימין,
ראמה,5.0,114.0,-0.0689968238339717,ראמה,
מעלות-תרשיחא,5.0,124.0,-0.0573799263534073,מעלות תרשיחא,
נחל שורק,5.0,120.0,-0.0565400414682475,נחל שורק,
חבל אילות,5.0,131.0,-0.0554467253812583,חבל אילות,
שפיר,5.0,132.0,-0.054554409212045,שפיר,
פקיעין (בוקייעה),5.0,118.0,-0.0393890104814623,פקיעין בוקייעה,
כפר יאסיף,5.0,117.0,-0.0358305872492414,כפר יאסיף,
קריית עקרון,5.0,138.0,-0.0213281832613795,קריית עקרון,
"בני עי""ש",5.0,136.0,-0.0200238440314052,בני עי ש,
זבולון,5.0,135.0,-0.0143861802233418,זבולון,
עיילבון,5.0,123.0,-0.0111764494620134,עיילבון,
אור עקיבא,5.0,126.0,-0.00937863600593537,אור עקיבא,
קדומים,5.0,127.0,-0.00611907236279035,קדומים,123.0
מגדל,5.0,140.0,-0.00425125789444863,מגדל,
אור יהודה,5.0,137.0,0.00540046441061977,אור יהודה,
הר חברון,5.0,122.0,0.0124547790313806,הר חברון,
מרום הגליל,5.0,133.0,0.0160192484810836,מרום הגליל,
כרמיאל,5.0,141.0,0.0196535921530683,כרמיאל,
ג'ת,5.0,121.0,0.0370622126686846,ג ת,
חבל יבנה,6.0,130.0,0.0692677361923638,חבל יבנה,
נתניה,6.0,139.0,0.0844459044490599,נתניה,
קריית אתא,6.0,142.0,0.0896052990032351,קריית אתא,
טירת כרמל,6.0,134.0,0.108314056835817,טירת כרמל,
נהרייה,6.0,152.0,0.142933750605715,נהרייה,
גוש עציון,6.0,144.0,0.144279697979852,גוש עציון,
אילת,6.0,149.0,0.151388571478724,אילת,
קרני שומרון,6.0,147.0,0.164843167121389,קרני שומרון,128.0
ערבות הירדן,6.0,161.0,0.165060135807751,ערבות הירדן,
חדרה,6.0,150.0,0.184153504149755,חדרה,
שדות נגב,6.0,145.0,0.184724417482138,שדות נגב,
עמק לוד,6.0,146.0,0.185186921459888,עמק לוד,
שלומי,6.0,143.0,0.189673004515449,שלומי,
רמת נגב,6.0,158.0,0.205547695062263,רמת נגב,
גולן,6.0,148.0,0.207460188028709,גולן,
אריאל,6.0,151.0,0.22708756891988,אריאל,17.0
מרחבים,6.0,154.0,0.232420269320654,מרחבים,
מעלה אדומים,6.0,159.0,0.241054455327592,מעלה אדמים,77.0
שומרון,6.0,156.0,0.271920649652301,שומרון,
עמק המעיינות,6.0,155.0,0.304011265352971,עמק המעיינות,
כפר כמא,6.0,157.0,0.306933832042368,כפר כמא,
אשכול,6.0,160.0,0.309360787766713,אשכול,
